artist_id,artist_name,genres,artist_popularity,artist_followers,artist_profile,image,lg_image,md_image,sm_image
64ccradw8gAQn9gMQZmEha,"Lisa ""Left Eye"" Lopes",[],47,26293,https://open.spotify.com/artist/64ccradw8gAQn9gMQZmEha,https://i.scdn.co/image/ab67616d0000b273298597d64021b8cdd6aa79f7,"(640, 640)","(300, 300)","(64, 64)"
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,"['melodic rap', 'rap', 'trap']",72,10453087,https://open.spotify.com/artist/757aE44tKEUQEqRuT6GnEB,https://i.scdn.co/image/ab6761610000e5eb9c30c6b69a55d48decd71600,"(640, 640)","(320, 320)","(160, 160)"
6gYn1myEM7sARWIoT2AVWG,Ffion,['singaporean pop'],20,4656,https://open.spotify.com/artist/6gYn1myEM7sARWIoT2AVWG,https://i.scdn.co/image/ab6761610000e5ebec3694e9aacfc58555c31b95,"(640, 640)","(320, 320)","(160, 160)"
6jSW7sg56cdW32xIqgPKZy,Dirty Rush & Gregor Es,['progressive house'],37,18594,https://open.spotify.com/artist/6jSW7sg56cdW32xIqgPKZy,https://i.scdn.co/image/ab6761610000e5eb232f6c8cb8c2650eeb1e7072,"(640, 640)","(320, 320)","(160, 160)"
0MlsoNIUS9y5LyqqSrvHTb,Heather Janssen,[],19,2369,https://open.spotify.com/artist/0MlsoNIUS9y5LyqqSrvHTb,https://i.scdn.co/image/ab6761610000e5eb6a8360cfe58c7f352dbc9907,"(640, 640)","(320, 320)","(160, 160)"
5qr3Q9yXnDkxF3RLs5ZPLn,kavabanga Depo kolibri,"['russian dance', 'russian hip hop', 'russian pop']",46,100423,https://open.spotify.com/artist/5qr3Q9yXnDkxF3RLs5ZPLn,https://i.scdn.co/image/ab6761610000e5ebc5e4f5b04e40b264291caa75,"(640, 640)","(320, 320)","(160, 160)"
380fnmlGnkyueBMqGWx2k5,Joe Goddard,"['electronica', 'indie soul', 'nu disco']",43,101268,https://open.spotify.com/artist/380fnmlGnkyueBMqGWx2k5,https://i.scdn.co/image/ab6761610000e5eb94b775933bc52fe5281d8849,"(640, 640)","(320, 320)","(160, 160)"
2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,"['edm', 'pop dance']",64,947432,https://open.spotify.com/artist/2ZRQcIgzPCVaT9XKhXZIzh,https://i.scdn.co/image/ab6761610000e5eb9846c7c98ffc08fee6ebe5be,"(640, 640)","(320, 320)","(160, 160)"
6fhoTWByEf92xEyjQFfgeZ,Industry,[],30,3306,https://open.spotify.com/artist/6fhoTWByEf92xEyjQFfgeZ,https://i.scdn.co/image/6b2ae727d779392dbf4adea758d7aaab3d0e36cc,"(749, 1000)","(479, 640)","(150, 200)"
23NIwARd4vPbxt3wwNnJ6k,Parquet Courts,"['alternative rock', 'american post-punk', 'brooklyn indie', 'chamber pop', 'crank wave', 'denton tx indie', 'indie rock', 'lo-fi', 'neo-psychedelic', 'noise pop', 'noise rock']",44,281653,https://open.spotify.com/artist/23NIwARd4vPbxt3wwNnJ6k,https://i.scdn.co/image/ab6761610000e5eba968b1bb3c46e65911d8bb8c,"(640, 640)","(320, 320)","(160, 160)"
2p0Hf0MF8Nw8lwAXokczf0,Smif-N-Wessun,['east coast hip hop'],44,201763,https://open.spotify.com/artist/2p0Hf0MF8Nw8lwAXokczf0,https://i.scdn.co/image/ab6761610000e5eb9a7217ea52c43d04c70d80c7,"(640, 640)","(320, 320)","(160, 160)"
7kU4a2ua3TXsapxetx9Vu1,cat soup,['cloud rap'],36,22880,https://open.spotify.com/artist/7kU4a2ua3TXsapxetx9Vu1,https://i.scdn.co/image/ab6761610000e5ebd718fa3f38988eed12225df0,"(640, 640)","(320, 320)","(160, 160)"
4au9pcYGXtv2fPYbMa6wg5,Masked Man,"['chillhop', 'lo-fi beats']",41,13597,https://open.spotify.com/artist/4au9pcYGXtv2fPYbMa6wg5,https://i.scdn.co/image/ab6761610000e5eb59d02d3a23f8527f5350455c,"(640, 640)","(320, 320)","(160, 160)"
5gxynDEKwNDgxGJmJjZyte,Steve Winwood,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'singer-songwriter', 'soft rock']",55,1032389,https://open.spotify.com/artist/5gxynDEKwNDgxGJmJjZyte,https://i.scdn.co/image/8a6cfe2373a091c0041b2bae6e576e395944eacd,"(1000, 1000)","(640, 640)","(200, 200)"
7G6hXrjGpi6I7waNl4wxAk,J. Holiday,"['contemporary r&b', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']",47,1576306,https://open.spotify.com/artist/7G6hXrjGpi6I7waNl4wxAk,https://i.scdn.co/image/e8a48dd66904570087b66f1196b900554aef78a0,"(1000, 1000)","(640, 640)","(200, 200)"
4DYFVNKZ1uixa6SQTvzQwJ,Ken-Y,['reggaeton'],61,329608,https://open.spotify.com/artist/4DYFVNKZ1uixa6SQTvzQwJ,https://i.scdn.co/image/ab6761610000e5eb0de35d1548301d8179d3eaf3,"(640, 640)","(320, 320)","(160, 160)"
46CCmeVLrgc6MnyVpVMOzp,Erica Campbell,"['gospel', 'gospel r&b']",38,95739,https://open.spotify.com/artist/46CCmeVLrgc6MnyVpVMOzp,https://i.scdn.co/image/ab6761610000e5eb042845599c380c9d2f3ba023,"(640, 640)","(320, 320)","(160, 160)"
6TeBxtluBMQixZcKkJ3ZrB,HM Surf,"['lo-fi beats', 'lo-fi study']",48,31670,https://open.spotify.com/artist/6TeBxtluBMQixZcKkJ3ZrB,https://i.scdn.co/image/ab6761610000e5ebc1105b865f1018cfc7df79d7,"(640, 640)","(320, 320)","(160, 160)"
7uN1aqKCrD6Ju1sn74MPgf,Singuila,['r&b francais'],40,269507,https://open.spotify.com/artist/7uN1aqKCrD6Ju1sn74MPgf,https://i.scdn.co/image/ab6761610000e5ebf79f4871e7f9e35040ba4e72,"(640, 640)","(320, 320)","(160, 160)"
36vcmmXCPj6P7b2p3E5VPI,Belzebass,['electro trash'],22,8158,https://open.spotify.com/artist/36vcmmXCPj6P7b2p3E5VPI,https://i.scdn.co/image/ab6761610000e5eb2fee1b697a5aa7e0355e2c3a,"(640, 640)","(320, 320)","(160, 160)"
7taR4NVoGObH3v6708KBgV,Minimatic,['electro swing'],28,7239,https://open.spotify.com/artist/7taR4NVoGObH3v6708KBgV,https://i.scdn.co/image/ab6761610000e5eba67f734329d871fb1cffc43a,"(640, 640)","(320, 320)","(160, 160)"
60cVbnHVILVFAO7tl3crPV,Olmos,[],25,12618,https://open.spotify.com/artist/60cVbnHVILVFAO7tl3crPV,https://i.scdn.co/image/ab6761610000e5eb5963e3ab7bfde56f15ff3192,"(640, 640)","(320, 320)","(160, 160)"
